modelo,fabricacao,quantidade,quantidade_total
SAVEIRO CROSS 1.6 MI TOTAL FLE,2012,1,1
S10 Pick-Up 2.8 4x2 Turbo Interc. Dies.,2002,1,1
KWID OUTSID 2,2022,1,1
Towner Jr. Pick-up 1.0 8V 48cv  CD 4p,2011,1,1
UP! TAKE 1.0 T. FLEX 12V,2015,1,1
CIVIC SEDAN EX 2.0 FLEX 16V .4,2020,1,1
26-280 E CONSTELLATION 6X4,2013,1,1
SANDERO,2016,1,1
FOR KA,2018,1,1
S 10 PICK-UP EXECUTIVE 2.8 4X4,2011,1,1
ATRON 2324 6X2 (E5),2013,1,1
G-450 A 6X2 2P (DIESEL)(E5),2023,1,1
SAVEIRO CITY 1.6 MI TOTAL FLEX,2005,1,1
ECOSPORT SE DIRECT 1.5 FLEX 4P,2020,1,1
FH 12 380 4X2,2005,1,1
HB20 COMFORT 1.0 FLEX 12V MEC.,2022,1,1
VOYAGE HIGHLINE 1.6 MI TOTAL F,2014,1,1
ASTRA SEDAN ELITE 2.0 FLEXPOWE,2005,1,1
C3 SONORA 1.6 FLEX,2011,1,1
STRALIS HD 490 - S38T,2008,1,1
C3 Excl. Solaris 1.6 Flex 16V Mec,2004,1,1
207 SEDAN PASSION XR 1.4 FLEX,2013,1,1
mobile lite,2021,1,1
Santana 1.8 Mi,2000,1,1
F-13000 2p (diesel),1981,1,1
HB20 SEDAN 1.6 PREMIUM,2019,1,1
VW,2019,1,1
CIVIC SEDAN LXL 1.8 FLEX 16V,2011,1,1
F-4000 4X4 (DIESEL)(E5),2018,1,1
CARGO 2628 E 6X4 TB,2011,1,1
Idea ESSENCE Dualogic 1.6 Flex 16V 5p,2014,1,1
ECOSPORT FREESTYLE 2.0 16V FLE,2012,1,1
Gol  1.0 4portas,2003,1,1
Polo 1.6 Mi S. Ouro,2004,1,1
Fit CX 1.4 Flex 16V 5p Aut.,2013,1,1
Kangoo Express  1.6 16v,2002,1,1
15-190 E CONSTELLATION,2015,1,1
Xsara Picasso Exclusive 2.0 16V  Aut,2006,1,1
RANGER XLT 3.2 20V 4X4 CD D,2012,1,1
STRADA ADVENTURE LOCKER 1.8 FL,2013,1,1
-BENZ/1214 C,1998,1,1
TORO RANCH AT9 4X4,2021,1,1
ATRON 1719 (E5),2013,1,1
CRUZE LTZ HB,2015,1,1
DISCOVERY SP. HSE 2.0 BI-TB 24,2018,1,1
SANDERO EXPRESSION FLEX 1.6 16,2018,1,1
RANGER XLS 3.0 PSE TB D,2006,1,1
DUSTER DYNAMIQUE 2.0 16V HI-FL,2011,1,1
24-280 E CONSTELLATION 6X2,2016,1,1
CARGO 1215,1998,1,1
AIRCROSS EXCLUSIVE 1.6 16V FLE,2012,1,1
F-4000 4X4 (DIESEL)(E5),2019,1,1
Hilux SW4 SR 4x2 2.7 aut,2010,1,1
HB20 COMFORT PLUS 1.6 FLEX,2012,1,1
Leaf Tekna - 2022/2023,2022,1,1
VOYAGE 1.6 MSI FLEX 16V 4P AUT.,2021,1,1
VM 330 8X2 (DIESEL) (E5) R (CA,2018,1,1
COROLLA XLI 1.8 16V FLEX,2012,1,1
MONTANA LS 1.4 ECONOFLEX,2010,1,1
FIT LX 1.4,2006,1,1
17-220/ 17-220 WORKER 2P (DIES,2002,1,1
P 310 B 8X2 (E5),2017,1,1
CIVIV,2016,1,1
TORO FREEDOM 2.0 16V 4X4 DIESE,2020,1,1
S 10 PICK-UP LTZ 2.4 CD FLEXPO,2014,1,1
ETIOS XS 1.5 FLEX 16V,2015,1,1
ONIX HATCH LS 1.0 8V FLEXPOWER,2012,1,1
S10 Blazer Std. 2.2 EFI,1999,1,1
R 440 A 6X4 HIGHLINE (E5),2013,1,1
FIT EX/S/EX 1.5 FLEX/FLEXONE 1,2015,1,1
FOX CITY 1.0 MI,2010,1,1
Fiesta GL Class 1.0i 5p,2001,1,1
elantra gls,2012,1,1
CLIO 1.0 16V HI-FLEX,2010,1,1
V 40 T4 1.9,2014,1,1
TERRITORY TITANIUM 1.5 GTDI EC,2020,1,1
CELTA SUPER 1.4 MPFI,2004,1,1
ETIOS SD XS,2014,1,1
Fit  LX 1.4 Flex 8v Aut,2007,1,1
Creta 1.6,2017,1,1
ONIX,2022,1,1
CROSSFOX I MOTION 1.6 MI TOTAL,2013,1,1
HB20 1.6,2014,1,1
Virtus,2020,1,1
JETTA 2.0 Total Flex 8V 4p Mec.,2012,1,1
FH-540 GLOBETROTTER XL 6X4 (DI,2023,1,1
NOVA SAVERO,2020,1,1
S 10 PICK-UP LS 2.4 FLEX POWER,2015,1,1
UP! RUN I MOTION 1.0 TOTAL FLE,2016,1,1
CELTA SPIRIT 1.0 MPFI FLEXPOWE,2008,1,1
PALIO ELX 1.0 MPI FIRE FLEX,2004,1,1
JETTA 2.0 TIPTRONIC FLEX,2012,1,1
32-360 CONSTELLATION 6X4 2P (D,2022,1,1
Strada Working 1.4 mpi Fire Flex 8V CD,2015,1,1
8.120 EURO3,2011,1,1
ATRON 1319 (E5),2015,1,1
ETIOS XLS SD 1.5,2017,1,1
Fiorino Furg.1.5,2013,1,1
CAMARO SS 6.2 V8 16V 406cv,2009,1,1
ASTRA ADVANT. 2.0 MPFI FLEX PO,2007,1,1
D-20 Luxe 3.9 Turbo Diesel,1993,1,1
ASX 2.0,2013,1,1
Zafira Elite 2.0 MPFI FlexPower 8V 5p,2010,1,1
ONIX HATCH LT 1.0 12V TB FLEX,2019,1,1
ONIX HATCH LS 1.0 8V FLEXPOWER,2016,1,1
POLO 1.6 MI TOTAL FLEX,2006,1,1
325i,1993,1,1
17-180 WORKER 2P (DIESEL),2007,1,1
POLO SEDAN CONFORTLINE 2.0 MI,2005,1,1
COURIER L 1.6 MPI,2008,1,1
PALIO WEEKEND ELX 1.4 MPI FIRE,2007,1,1
PRISMA SEDAN MAXX 1.4 ECONOFLE,2007,1,1
IDEA ADVENTURE LOCKER 1.8 FLEX,2013,1,1
corolla,2021,1,1
GLADIATOR RUBICON 3.6 V6 284 C,2022,1,1
MONTANA SPORT 1.4 ECONOFLEX,2011,1,1
VIRTUS 1.6 MSI Flex 16V 4p Aut.,2020,1,1
COURIER L 1.6 MPI,2009,1,1
FM 13 480 6X4,2008,1,1
SPIN LTZ  1.8L AUTOMATICO,2012,1,1
FH 440 GLOBETROTTER 6x4 2p (diesel),2010,1,1
Master 2.3 dCi Furgão 16V Diesel,2016,1,1
XC 90 T-6 INSCRIPTION 2.0 320CV 5p,2016,1,1
-BENZ/ATEGO 1719,2014,1,1
CARGO 712 E Turbo 2p (diesel),2011,1,1
328iA Sport 2.0 16V 245cv 4p,2013,1,1
24-250 E T WORKER 3-eixos,2005,1,1
CG 160 START,2021,1,1
FOISON 1.3 16V 85cv 2p,2014,1,1
Gol Special 1.0 Mi 4p,2002,1,1
Sorento EX 3.8 V6 24V 267cv 4x4 Aut.,2008,1,1
ZAFIRA EXPRESSION 2.0 MPFI FLE,2009,1,1
Palio Celebration 1.0 Fire Flex 8V 2p,2014,1,1
RENEGADE1.8 4X2 FLEX 16V MEC.,2017,1,1
F 350,2011,1,1
KANGOO EXPRESS HI-FLEX 1.6 16V,2014,1,1
13.170,2000,1,1
CORSA SEDAN 1.0 MPFI,2002,1,1
CARGO 815 S,2005,1,1
Ford KA,2019,1,1
FIORINO HD WK E,2018,1,1
2008 ALLURE 1.6 FLEX 16V 4P AU,2022,1,1
CARGO 3530 Turbo 2p (diesel),1995,1,1
R 114 GA 360 4X2 NZ,1999,1,1
Sentra SV 2.0 Flex 16V Aut.,2013,1,1
Palio ELX 1.0 4p,1999,1,1
TRACKER 1.0 Turbo 12V Flex Aut,2022,1,1
HB20S,2018,1,1
Palio Weekend ELX 1.3 mpi  Fire 16V,2000,1,1
BROSS,2020,1,1
11.180,2022,1,1
R 440 A6X2,2016,1,1
JETTA VARIANT 2.5 20V TIPTRONI,2011,1,1
FREEMONT PRECISION DUALOGIC 2.,2012,1,1
15-180 E CONSTELLATION,2009,1,1
EcoSport XLT 1.6,2006,1,1
CARGO 2429 E 6X2 TB,2015,1,1
Sprinter 416 Furgão Longo T.A. 2.2 Dies.,2022,1,1
SIENA EX 1.0 FIRE,2007,1,1
HB20 C.Plus 1.0,2013,1,1
SIENA EL 1.4 MPI FIRE FLEX,2015,1,1
15-180 E WORKER,2011,1,1
Corsa Sedan GLS 1.6 MPFI 4p,1999,1,1
KA 1.0 SEL TICVT FLEX,2017,1,1
CG 160 TITAN FLEXONE,2023,1,1
DAILY CHASSI 45S14 2p (diesel),2010,1,1
KA GL 1.0i Zetec Rocam,2003,1,1
Strada Trekking 1.6 16V Flex CD,2014,1,1
Palio Weekend ELX 1.4 mpi Fire Flex 8V,2008,1,1
LOGAN Authentique Hi-Flex 1.0 16V 4p,2013,1,1
FIESTA SEDAN 1.0 FLEX,2007,1,1
L200 Triton GL 3.2 CD TB Int. Dies. Mec.,2014,1,1
X4 XDRIVE 28i X-Line 2.0 Turbo 245cv Aut,2015,1,1
Uno Mille 1.0 Economy 4p,2008,1,1
515 CHASSI E L 2.2 D,2015,1,1
JIMNY 4 WORK 1.3 16V,2016,1,1
ASTRA SEDAN 2.0 MPFI,2003,1,1
Fiesta Sedan SEL 1.6 16V Flex Aut.,2017,1,1
SANDERO STEPWAY 1.6 8V HI-FLEX,2016,1,1
KWID ZEN 10 MP,2020,1,1
MASTER 2.3 DCI FURGAO 16V D,2013,1,1
FIESTA TIT./TIT.PLUS 1.6 16V F,2016,1,1
STREET GLIDE SPECIAL FLHXS,2020,1,1
BRAVO SPORTING 1.8 FLEX 16V,2013,1,1
JETA,2018,1,1
UNO FURGAO 1.3 FIRE FLEX,2013,1,1
GLC 250 SPORT 2.0 TB 16V 211CV,2018,1,1
FIORINO FURGAO 1.5,2007,1,1
CRUZE LT 1.8 16V FLEXPOWER,2016,1,1
STRADA ADVENTURE 1.8 FLEX CE 1,2010,1,1
L 1318,2011,1,1
FIESTA SUPERCHARGER 1.0,2004,1,1
HILUX CS 4X4 2.8 TDI MEC.,2019,1,1
MONTANA LS,2011,1,1
S10 PICK-UP LT 2.5 FLEX 4X2 CD,2020,1,1
Astra Sed.Advant. 2.0 8V MPFI FlexP. Aut,2010,1,1
F-600,1976,1,1
LINEA ABSOLUTE DUALOGIC 1.8 FL,2015,1,1
BIZ,2019,1,1
TIGUAN 2.0 TSI 16V TIPTRONIC,2010,1,1
L200-TRITON SPORT HPE 2.4 CD D,2019,1,1
Ranger STX 4.0 CS,1995,1,1
Onix Plus LT,2020,1,1
Fiorino Furgão Celeb. EVO 1.4 Flex 8V 2p,2016,1,1
CLIO HATCH AUTHENTIQUE 1.0,2003,1,1
Parati 1000 Mi 16V 4p Turbo,2001,1,1
Palio 1.6 mpi 16V 4p,1997,1,1
Fiorino Furgão 1.5 mpi i.e,1994,1,1
V40 T-5 R-DESIGN 2.0 Aut.,2018,1,1
FUSCA 2.0 R-LINE TSI 16V,2015,1,1
1215 C 2p (diesel),2000,1,1
SYMBOL PRIVILEGE 1.6 16V HI-FL,2010,1,1
PALIO,2023,1,1
VIRTUS HIGHLINE 200 TSI 1.0 FL,2023,1,1
IVECO-DAILY CHASSI 35S14 (E5),2014,1,1
RANGER XLT 2.5 16V 4X2 CD,2012,1,1
VM 270 6X4 (E5),2022,1,1
C4 CACTUS SHINE 1.6 TURBO FLEX,2021,1,1
P 310 B 8X2 (E5),2014,1,1
AIRCROSS EXCLUSIVE 1.6 16V FLE,2013,1,1
ETIOS XS 1.5 FLEX 16V,2013,1,1
C 180,2015,1,1
AGILE LT 1.4 FLEX,2012,1,1
METEOR 28.460 6X2 2P (DIESEL)(,2020,1,1
S 10 PICK-UP EXECUTIVE 2.4 CD,2008,1,1
Strada 1.5 mpi 8v CS,2001,1,1
Kicks 1.6 Advance Plus CVT,2022,1,1
ML-350 3.0 V6 224cv 4x4 Diesel,2013,1,1
CARGO 2422 E 6X2,1999,1,1
R 124 GA 360 4X2 NZ,2001,1,1
RANGER,2019,1,1
FAT BOB FXFBS,2022,1,1
ETIOS X PLUS 1.5 FLEX 16V 5P A,2020,1,1
Kwid Zen 1.0 MT-2021/2022,2022,1,1
8.150,2000,1,1
C3 GLX 1.4 FLEX,2010,1,1
VOYAGE 1.0 CITY MI TOTAL FLEX,2009,1,1
AMAROK CD 2.0 16V TDI 4X4 D,2014,1,1
JETTA COMFORT. 250 TSI 1.4 FLE,2019,1,1
CARGO 2629 E 6X4 TB,2012,1,1
F-4000 TURBO(MWM) 2p (diesel),1988,1,1
13.180 E WORKER,2009,1,1
Doblo Cargo 1.8 mpi Flex,2013,1,1
A1 SPORTBACK 1.4 TFSI 122CV S-,2016,1,1
HILUX CS 4X4 2.8 TDI DIESEL ME,2016,1,1
TRITON,2021,1,1
Mobi lite,2019,1,1
HB20 Hyndai 1.0,2018,1,1
CRETA PULSE 1.6 16V FLEX AUT.,2018,1,1
TIIDA S 1.8 Flex  mec,2010,1,1
STRADA FREEDOM CD 1.3,2023,1,1
INTRUDER LC 1500,2003,1,1
KA 1.0 8V ST Flex,2012,1,1
C4 CACTUS FEEL A,2018,1,1
C3 GLX SONORA 1.4 FLEX,2007,1,1
R 400 A 6X2,2013,1,1
Ka 1.5 FreeStyle 12V Flex 5p Aut.,2020,1,1
TERRITORY TITANIUM 1.5 GTDI EC,2022,1,1
KWID,2020,1,1
31-330 E CONSTELLATION 6X4,2018,1,1
C3 FEEL 1.6 FLEX 16V 5P MEC.,2022,1,1
STRADA TREKKING 1.4 MPI FIRE F,2010,1,1
GSX-R 1000,2004,1,1
HR 2.5 TCI HD RS,2017,1,1
AGILE LTZ 1.4 FLEX,2011,1,1
P 340 A 6X2,2010,1,1
CROSSFOX 1.6 MI TOTAL FLEX,2013,1,1
COURIER 1.6 L FLEX,2011,1,1
ACTROS 2651 S 6X4 2P (DIESEL)(,2021,1,1
Saveiro 1.8 Mi,2000,1,1
CROSSFOX 1.6 MI TOTAL FLEX,2009,1,1
SANDERO AUTH. S.ESPECIAL FLEX,2017,1,1
CORSA HATCH MAXX 1.0 MPFI,2006,1,1
DOBLO ESSENCE,2018,1,1
7.110 S,1993,1,1
CLIO SEDAN RL 1.0 16V,2005,1,1
206 FELINE 1.4,2004,1,1
FRONTIER SE CD 4X4 2.3 BI-TB,2022,1,1
HILUX CHASSI D4-D 3.0 4X4 TB D,2014,1,1
R-450 A 6X2 2P (DIESEL)(E5),2020,1,1
ATEGO 2426 6X2 (E5),2020,1,1
RAV 4 2.0 16V 4X2,2013,1,1
ATEGO 1419 (E5),2022,1,1
NOVO GOL TRENDLINE MBV,2018,1,1
Gol Special 1.0 Total Flex 8V 5p,2014,1,1
KA 1.0 8V,2008,1,1
S10 PICK-UP LT 2.5 FLEX 4X4 CD,2014,1,1
STRADA WORKING CD,2016,1,1
Caravan Comodoro 4.1,1990,1,1
