modelo,fabricacao,quantidade,quantidade_total
COMPASS LIMITED 2.0 4X2 FLEX 1,2017,1,4
LOGAN Expres. S.Especial Flex 1.0 12V 4p,2018,1,4
KA GL 1.0i Zetec Rocam,2006,1,4
Master 2.5 dCi Chassi 16V 115cv Diesel,2012,1,4
KWID,2019,1,4
COROLLA XEI 2.0 FLEX,2010,1,4
TORO FREEDOM 1.3 T270 4X2 FLEX,2022,1,4
VOYAGE TRENDLINE 1.6 FLEX 8V,2018,1,4
ETIOS XS SD 1.5,2014,1,4
YARIS XL 1.5 FLEX 16V 5P AUT.,2022,1,4
VOYAGE 1.0 Mi Total Flex 8V 4p,2013,1,4
Megane Grand Tour Dynam. Hi-Flex 1.6 16V,2011,1,4
SPIN LT 1.8 ECONOFLEX,2015,1,4
KICKS S 1.6 16V FLEX 5P AUT.,2018,1,4
COROLLA GLI 1.8 FLEX,2011,1,4
HILUX 2.8 CD 4X4 D,2021,1,4
Master 2.3 dCi Furgão 16V Diesel,2014,1,4
UNO WAY 1.4 EVO FIRE FLEX,2010,1,4
HB20 Premium 1.6 Flex 16V Aut.,2013,1,4
Fit LX 1.5 Flexone 16V 5p Aut.,2019,1,4
CLASSIC LIFE 1.0 VHC E FLEXPOW,2012,1,4
COBALT LTZ 1.8 ECONOFLEX,2013,1,4
FIESTA SE 1.6 16V FLEX,2018,1,4
FOCUS FASTBACK TIT. 2.0 FLEX,2016,1,4
KICKS SL 1.6 16V FLEXSTAR   .,2020,1,4
CARGO 816 E TB,2012,1,4
RANGER XLS 2.2 4X4 CD DIESEL A,2021,1,4
Corsa Sed.Classic VHC  1.0,2000,1,4
SPIN LTZ 1.8 ECONOFLEX,2015,1,4
Fit EX 1.5 Aut,2005,1,4
Cerato 1.6 16V  Flex  Aut.,2013,1,4
ONIX HATCH LT 1.0 12V FLEX 5P,2021,1,4
YARIS XL SEDAN 1.5 FLEX 16V 4P,2019,1,4
Astra GL 1.8 MPFI 3p,2000,1,4
DUSTER OROCH EXP. 1.6 HI-FLEX,2021,1,4
TUCSON 2.0 16V FLEX,2014,1,4
SIENA EL 1.0 MPI FIRE FLEX,2010,1,4
FIORINO FURGAO WORK. HARD 1.4,2017,1,4
FIESTA S 1.5 16V FLEX,2015,1,4
Gol City (Trend) 1.0 Mi Total Flex 8V 4p,2010,1,4
FIESTA SEDAN 1.6 FLEX,2011,1,4
DUSTER EXPRESSION1.6 FLEX 16V,2018,1,4
VERSA SV 1.6 16V FLEXSTART  AU,2018,1,4
DUSTER OROCH DYNA. 2.0 HI-FLEX,2018,1,4
DYNA SUPER GLIDE,2009,1,4
FOX 1.6 MI TOTAL FLEX,2013,1,4
VITARA 4SPORT ALLGRIP 1.4 TB 1,2017,1,4
SPIN LT 1.8 8V Econo.Flex 5p Aut.,2014,1,4
HB20 EVOLUTION 1.0 FLEX 12V ME,2021,1,4
Z 300,2017,1,4
AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2012,1,4
CITY Sedan EXL 1.5 Flex  16V 4p Aut.,2021,1,4
Palio 1.0 Fire Flex 4p,2014,1,4
FOX CITY 1.0 MI TOTAL FLEX,2008,1,4
ARGO 1.0 6V FLEX.,2022,1,4
NX-4 FALCON 400,2000,1,4
320iA 2.0 Turbo 16V 184cv  4p,2013,1,4
YZF R-1 1000,2012,1,4
Celta LT 1.0 MPFI 8V FlexP. 5p,2015,1,4
SAVEIRO ROBUST 1.6 TOTAL FLEX,2017,1,4
A3 Sedan 1.4 TB FSI Flex Tiptronic 4p,2018,1,4
R 1200 GS,2011,1,4
SANDERO Expression Flex 1.6 16V 5p,2017,1,4
Ranger XLS 2.2 4x4 CD Diesel Aut.,2018,1,4
HB20X STYLE 1.6 FLEX 16V,2014,1,4
2008 ALLURE 1.6 FLEX 16V 4P AU,2016,1,4
RENEGADE LONGITUDE 2.0 4X4 TB,2018,1,4
POLO SEDAN 1.6 MI TOTAL FLEX,2012,1,4
TRACKER PREMIER1.2 TURBO 12V F,2021,1,4
VOYAGE 1.0 8V 4P,2009,1,4
Celta Spirit 1.0 MPFI VHC 8V 5p,2005,1,4
UNO MILLE ECONOMY 1.0 FLEX,2010,1,4
Fiesta 1.6 16V Flex Aut. 5p,2015,1,4
SANDERO STEP. ZEN FLEX 1.6 16V,2020,1,4
T-CROSS 1.0 TSI FLEX 12V 5P AU,2019,1,4
HB20 VISION 1.0 FLEX 12V MEC.,2022,1,4
HILUX CD SR 4X4 2.8 TDI DIESEL,2022,1,4
DUSTER DYNAMIQUE 2.0 16V HI-FL,2016,1,4
Q3 PRESTIGE PLUS 1.4 TFSI FLEX,2020,1,4
Fiesta S 1.0 8V Flex 5p,2013,1,4
CLASSIC LS 1.0 FLEXPOWER,2013,1,4
Corsa Wind 1.0 MPF,2000,1,4
KA+ SEDAN 1.5 16V FLEX,2014,1,4
Fiorino Endurance EVO 1.4 Flex 8V 2p,2020,1,4
Renegade Sport 1.8 4x2 Flex 16V Mec.,2017,1,4
COMPASS S T270 1.3 TB 4X2 FLEX,2021,1,4
SAVEIRO ROBUST 1.6 TOTAL FLEX,2019,1,4
TAOS COMFORTLINE 1.4 250 TSI F,2021,1,4
MONTANA PREMIER 1.2 TURBO FLEX,2023,1,4
DUSTER DYNAMIQUE 2.0 16V HI-FL,2015,1,4
HR 2.5 TCI Diesel (RD,2009,1,4
ETIOS X  1.3 Flex 16V 5p Mec.,2016,1,4
CB 650R,2021,1,4
HB20 SEDAN 1.6 PREMIUM,2015,1,4
Corsa Sed.Milenium 1.0,2001,1,4
POLO TRACK 1.0 FLEX 12V 5P,2023,1,4
UP! EXTREME 1.0 TSI TOTAL FLEX,2019,1,4
Fit LX 1.4 16V Mec,2010,1,4
PUNTO ATTRACTIVE 1.4 FLEX,2014,1,4
COROLLA ALTIS 2.0 FLEX,2015,1,4
DOWNTOWN 300i,2021,1,4
CRUZE LT 1.4 16V TURBO FLEX 4P,2019,1,4
ASX 2.0 4X4,2014,1,4
ECOSPORT FREESTYLE 1.5 12V FLE,2020,1,4
24-280 E CONSTELLATION 6X2,2015,1,4
Corsa Sed Class.Life 1.0,2005,1,4
GRAND SIENA ESSENCE 1.6 16V FL,2016,1,4
FIORINO FURGAO EVO 1.4 FLEX 8V,2015,1,4
Hilux SW4 SR 4x2 2.7 aut,2014,1,4
Grand Vitara 2.0 16V 5p Aut.,2013,1,4
207 XR 1.4 Flex 8V 5p,2011,1,4
JOY HATCH1.0 8V FLEX 5P MEC.,2020,1,4
24-280 E CONSTELLATION 6X2,2021,1,4
