modelo,fabricacao,quantidade
IVECO-DAILY CHASSI 35S14 (E5),2019,1
L200 Tri. Outd. GLX 2.4 CD 4x4 Die. Mec.,2022,1
Corolla XEi 2.0 Flex 16V Aut.,2022,1
DUSTER ICONIC 1.6 16V FLEX AUT,2021,1
COROLLA GLI 2.0 16V FLEX AUT.,2019,1
Clio Campus Hi-Flex 1.0 16V 5p,2010,1
Q3 2.0 16VTFSI Quattro 170cv S-tronic 5p,2012,1
ONIX SEDAN Plus LT 1.0 12V TB Flex Mec,2022,1
Celta 1.0 MPFI VHC 8v 3p,2003,1
HB20S Vision 1.6 Flex 16V Aut.,2021,1
STRADA WORKING 1.4 MPI FIRE FL,2017,1
KANGOO EXPRESS HI-FLEX 1.6 16V,2010,1
RENEGADE TRAILHAWK 2.0 4X4 TB,2019,1
Range R. EVOQUE SI4 HSE Dynamic 2.0 Aut.,2018,1
argo 1.0,2021,1
208 ALLURE 1.6 FLEX 16V   AUT.,2017,1
CHEV/MONTANA T A LTZ,2023,1
DK 150 S,2019,1
CARGO 1119 Turbo 2p (diesel)(E5),2019,1
Civic Sedan Si 2.0 16V  192cv 4p,2007,1
GLE-350 3.0 V6 258CV 4X4 DIESE,2015,1
Classic 500 EFI,2017,1
RENEGADE RMGTD AUTOMATICO,2020,1
VERSA SL 1.6 16V FlexStart 4p Mec.,2019,1
XVS 650 DRAG STAR,2008,1
Pajero  GLS 3.2,2004,1
AMAROK CD 2.0 16V TDI 4x4,2011,1
Astra S.Sport 2.0 F.Pow. 5p,2007,1
MOBI Like 1.0 Fire Flex 5p.,2016,1
M 235i Coupe 3.0 24V 326cv,2014,1
NXR 125 Bros KS,2005,1
CR-V EXL 2.0 16V 4WD Aut,2011,1
XL 883 Low,2007,1
NEXT 300cc,2018,1
Corsa Sedan GL 1.6  MPFI 4p,1996,1
BANDIT N-1200,1997,1
Golf Highline 1.4 TSI 140cv Aut.,2013,1
MT-09 850cc,2018,1
G 650 GS,2015,1
CG 150 TITAN-EX MIX Flex,2012,1
Atego 2425 3-Eixos 2p (diesel),2011,1
CG 125 FAN,2017,1
Uno Mille 4p,2000,1
ATEGO 1719 (E5),2022,1
Celta Super 1.0 MPFI VHC 8v 5p,2004,1
HR-V EXL 1.8 FLEXONE 16V   AUT,2020,1
Clio RN HI-Power 1.0 5p,2014,1
Apache 150cc,2011,1
SAVEIRO TRENDLINE 1.6 FLEX,2014,1
CARGO 2429 E 6x2 Turbo 2p (diesel)(E5),2012,1
R 1250 GS Adv.Premium Triple Black 719,2023,1
450 EXC-F  ,2018,1
LS-100,1974,1
Uno Mille 1.0 Fire Flex 2p,2007,1
Up! move 1.0 TSI Total Flex 12V 5p,2017,1
HB20 EVOLUTION 1.0 FLEX 12V ME,2022,1
LINEA LX 1.9,2010,1
HERITAGE SOFTAIL Classic,2009,1
HB20 1.0,2019,1
Escort GL 1.6 MPI,2000,1
GLC-43 AMG COUPE 3.0 V6 BI-TB,2018,1
Ducato-15 2.8 Furgão TB Diesel,2002,1
T40 1.6 16V 5p Aut.,2019,1
Parati CL 1.6,1994,1
DISCOVERY 4 HSE 3.0 4X4 TD V6,2015,1
14-190 CONSTELLATION 2P (DIESE,2021,1
L-1318 2p (diesel),2010,1
L200 Triton Sport GLS 2.4 CD Diesel Aut.,2021,1
HB20 DIAMOND 1.0 TB FLEX 12V A,2019,1
Clio Express Hi-Flex 1.6 5p,2006,1
3500 LARAM. LONGHORN 6.7 TB CD,2022,1
Palio Weekend Trekking 1.6 Flex 16V 5p,2012,1
L-1513 3-Eixos 2p (diesel),1982,1
SPORTAGE EX 2.0 16V FLEX,2015,1
Corsa Sedan Super Milenium 1.0 MPFI 16V,2002,1
Lancer GT 2.0 16V 160cv Aut.,2014,1
TIGER 800 XRxL,2018,1
C-240 Elegance 2.4,2002,1
Creta 2.0,2021,1
CELTA 1.0 LT,2014,1
APACHE 200,2020,1
CG 160 FAN Flex,2021,1
MONTANA  Sport 1.8 MPFI FlexPower 8V,2004,1
XRE 300 RALLY,2022,1
45 - 170CD,2021,1
YBR 150 FACTOR E,2017,1
ARGO 1.0 6V FLEX.,2021,1
208 Allure 1.6 Flex 16V 5p Aut.,2022,1
ETIOS CROSS 1.5 Flex 16V 5p Mec.,2014,1
XL 1200X FORTY EIGHT Sportster,2018,1
CG 150 TITAN-Special Edition,2004,1
Versys 1000,2013,1
Kangoo Express  1.6 16v,2002,1
NXR 160 Bros,2015,1
Z 650,2017,1
Tucson 2.0 16V Flex Aut.,2016,1
FIT EX/S/EX 1.5 FLEX/FLEXONE 1,2014,1
L-1620 3-Eixos 2p (diesel),2003,1
KICKS S 1.6 16V FLEX 5P AUT.,2018,1
Astra Sed.Comf. 2.0 MPFI FlexPower 8V 4p,2005,1
TAOS HIGHLINE 1.4 250 TSI FLEX,2021,1
ASX 2.0 16V 4X4 FLEX AUT.,2018,1
ARGO,2017,1
HB20 COMFORT STYLE 1.0 FLEX,2017,1
ONIX HATCH 1.0 12V TB FLEX 5P,2021,1
EcoSport XLS 1.6,2006,1
STRADA ADVENTURE 1.8 FLEX CD,2019,1
KICKS ACTIVE 1.6 16V FLEX 5P A,2020,1
C4 CACTUS FEEL 1.6 16V Flex Aut.,2018,1
Creta Pulse 1.6 16V Flex Aut.,2018,1
RANGER LIMITED 3.2 20V 4X4 CD,2015,1
Corsa Sedan GL 1.6  MPFI 4p,1997,1
GOL TRENDLINE 1.0 FLEX 8V,2014,1
UNO DRIVE 1.0 FLEX 6V,2017,1
208 LIKE ESSENCIAL 1.6 FLEX 16,2022,1
INTRUDER 125,2003,1
Marea ELX 2.0 20V 4p,1999,1
C4 L A2L,2013,1
Celta Spirit 1.0 MPFI 8V FlexP. 5p,2007,1
CRONOS PRECISION 1.8 16V FLEX,2019,1
HB20 SEDAN 1.0 COMFORT PLUS,2015,1
P 310 B 8X2 (E5),2014,1
CARGO 2428 E T 3-Eixos 2p (diesel),2006,1
Premio S 1.3,1988,1
Strada 1.4 mpi Fire Flex 8V CS,2011,1
Kombi Standard 1.4 Mi Total Flex 8V,2006,1
ONIX LT 1.4 MECANICO,2014,1
Fit LX 1.4 Aut,2009,1
Siena 1.0 Fire Flex 8v,2009,1
BIZ 125 EX Flex,2014,1
ADV 150,2022,1
CG 125,1985,1
Fiorino Furg.1.3,2013,1
208 Active 1.6 Flex 16V 5p Aut.,2022,1
VOYAGE 1.6 MSI Flex 8V 4p,2021,1
Celta LT 1.0 MPFI 8V FlexP. 5p,2012,1
Nivus Comfortline 1.0 200 TSI Flex Aut.,2022,1
C-200 Avantgarde 2.0 TB 16V 184cv Aut.,2015,1
BURGMAN 650,2010,1
HB20 COMFORT 1.0 FLEX,2017,1
Argo 1.0,2021,1
Gol (novo) 1.0 Mi Total Flex 8V 4p,2013,1
POLO1.0 FLEX 12V,2021,1
BURGMAN i 125 cc,2013,1
ETIOS XLS Sedan 1.5 Flex 16V 4p Mec.,2015,1
COROLLA GLI 1.8 FLEX,2016,1
MARCH SV 1.6 16V FlexStart 5p Aut.,2017,1
SANDERO EXP. S.ESPECIAL FLEX 1,2017,1
Sprinter 311 Furgão Curto 2.2 Dies,2012,1
CLIO HATCH EXPRESSION 1.0 16V,2012,1
Strada Working 1.4 mpi Fire Flex 8V CS,2015,1
FIESTA SEL STYLE 1.6 16V FLEX,2017,1
PRISMA  Sed. Maxx 1.4 8V Econof,2007,1
KICKS SL 1.6 16V FlexStar 5p Aut.,2019,1
up! move I MOTION 1.0 T. Flex 12V 5p,2017,1
VM 330 8X2 (DIESEL) (E5) R (CA,2022,1
JEEP WILLYS,1957,1
PRISMA Sed. Joy 1.4 8V ECONOFLEX 4p,2007,1
UNO VIVACE 1.0 EVO Fire Flex 8V 5p,2015,1
Fox City 1.0 Mi Total Flex 4p,2005,1
FRONTIER SE CD 4X4 2.3 BI-TB,2022,1
DAILY CHASSI 65-170 LONGO 3.0,2021,1
X6 XDRIVE 40I M SPORT 3.0 BI-T,2022,1
C 100 BIZ,2003,1
C-180 Classic,1995,1
SAVEIRO CROSS 1.6 MI TOTAL FLE,2011,1
Fit EX 1.5 Flex Mec,2012,1
2008 ALLURE BUS. 1.6 FLEX 4P A,2019,1
WR-V EXL 1.5 FLEXONE 16V 5P AU,2017,1
SPIN LS 1.8 8V Econo.Flex 5p Mec.,2018,1
X1 XDRIVE 28i 3.0 24V 4x4 Aut.,2011,1
1720 2p (diesel),1999,1
MARCH S 1.0 16V Flex Fuel 5p,2014,1
A3 1.8 Turbo 180cv 5p Mec.,2004,1
ONIX HATCH EFFECT 1.4 8V F.POW,2016,1
RANGE R. VE. R-DYN SE 2.0 4X4,2018,1
F 350,2001,1
C3,2013,1
C4 CACTUS FEEL Pack 1.6 16V Flex Aut.,2021,1
X11-12,2022,1
ETIOS XLS Sedan 1.5 Flex 16V 4p Aut.,2017,1
STRADA VOLCANO AT 1.3,2023,1
Fusion Titanium 2.0 GTDI EcoBo. Awd Aut,2018,1
Sentra 2.0 Aut,2011,1
959 Panigale,2017,1
NC 750X,2019,1
CIVIC EXR,2014,1
CB 650F,2018,1
Fit LX 1.4 16V Mec,2006,1
Accord Sedã EX 3.0,2006,1
YARIS XS SEDAN 1.5 FLEX 16V 4P,2022,1
CG 150 TITAN-ES,2004,1
500 Cult 1.4 Flex 8V EVO Dualogic,2014,1
SOFTAIL STD,2007,1
Fiesta SE 1.6 16V Flex 5p,2018,1
FH 13 540 GLOBETROTTER 6X4 (E5,2018,1
FIESTA SEL 1.6 16V FLEX  AUT.,2017,1
207 SEDAN PASSION XR SPORT 1.4,2011,1
UNO VIVACE 1.0 EVO Fire Flex 8V 3p,2011,1
HR 2.5 TCI Diesel (RS,2012,1
Siena 1.0 Fire Flex 8v,2008,1
C3 TENDANCE PURE TECH 1.2 FLEX,2017,1
XRE 300 Flex,2017,1
PRISMA LT 1.4 SPE/4 FLEX,2017,1
LOGAN ZEN FLEX 1.0 12V 4P MEC.,2021,1
HB20 C.Plus 1.0,2013,1
206 SW PRESENCE 1.6 16V FLEX,2005,1
ETIOS XLS HB 1.5,2013,1
TIGER 800 XCx,2019,1
Magnata,1990,1
SAVEIRO TROOPER CE 1.6 MI TOTA,2012,1
LIVINA S 1.8 FLEX,2014,1
SOUL 1.6 Flex Aut,2010,1
FOX CITY 1.0 MI,2009,1
S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2020,1
RENEGADE LONG. T270 1.3 TB 4X2,2023,1
Celta Life 1.0 MPFI 8v Flexpower 5p,2013,1
ARRIZO 6 GSX 1.5 TURBO FLEX AU,2020,1
2008 Griffe 1.6 Flex 16V 5p Aut.,2017,1
SCRAMBLER ICON 800cc,2017,1
UP! HIGH I MOTION 1.0 T. FLEX,2014,1
SPACEFOX CONFORTLINE 1.6 MI TO,2016,1
GLE-400 3.0 TB 4MATIC DIESEL A,2020,1
LIVINA GRAND S 1.8 16V Flex Fuel Mec.,2011,1
Ranger XLS 2.2 4x4 CD Diesel Aut.,2020,1
CRF 1100L AFRICA TWIN ADV. SPORTS ES,2023,1
Sportage LX 2.0 16V Flex Aut,2015,1
RANGER FX4,2023,1
L200 TRI. OUTDO. GLS 2.4 CD 4X,2020,1
Fit LX 1.4 Aut,2008,1
SPIN ACTIV 1.8 8V ECONO. FLEX,2015,1
Rexton II 2.7 20V 165cv,2010,1
COMPASS,2021,1
PARTNER FURGAO 1.6 16V FLEX,2017,1
CBR 650F,2016,1
NINJA 250R,2009,1
XTZ 250 LANDER 249cc,2012,1
Classic Halcyon 350cc ABS,2022,1
Celta 1.0 MPFI VHC 8v 5p,2003,1
XL 883N Iron,2017,1
HB20 C.Plus 1.0,2015,1
CG 125 TITAN-ES,2003,1
TUCSON GLS 1.6 TURBO 16V AUT.,2021,1
GSX  650F,2010,1
Classic ADVANTAGE 1.0 VHC FlexPower 4p,2014,1
TORO FREEDOM 1.3 T270 4X2 FLEX,2023,1
KA SE AT 1.5 H A C,2019,1
AMAROK Trendline CD 2.0 TDI 4X4 Dies Aut,2017,1
Tucson 2.0 16V Flex Aut.,2014,1
KWID Zen 1.0 Flex 12V 5p Mec.,2019,1
Range R. EVOQUE SI4 SE 2.0 Aut. 4p,2017,1
C4 CACTUS FEEL A,2018,1
ETIOS XS  1.3 Flex 16V 5p Mec.,2013,1
Hilux CD SRV D4-D 4x4 3.0  TDI Dies,2008,1
COROLLA XEI 1.8 16V FLEX,2005,1
Z 900RS,2021,1
S10 Pick-Up LT 2.4 F.Power 4x2 CD,2013,1
ETIOS SD XS,2014,1
NINJA 300,2012,1
WR-V EX 1.5 FLEXONE 16V 5P AUT,2019,1
SANDERO AUTHENTIQUE HI-POWER 1,2017,1
TORO FREEDOM AT9 D,2019,1
UP! MOVE 1.0 TSI TOTAL FLEX 12,2017,1
Astra Sedan 2.0 8v 4p,2002,1
Towner Passageiro 1.0 8V 48cv 7L 5p,2008,1
LEAD 110,2014,1
S10 Pic-Up H.Country 2.8 4x4 CD Dies.Aut,2016,1
Classe A 160 Classic mec,2003,1
COROLLA,2018,1
CIVIV,2016,1
P-340 A 4x2 2p (diesel),2011,1
Creta Prestige 2.0 16V Flex Aut.,2018,1
ETIOS XLS HB 1.5,2015,1
Sportage LX 2.0 16V Flex Aut,2013,1
P 310 B 8X2 (E5),2016,1
X1 SDRIVE 20i 2.0 Turbo 16V 184cv Aut.,2022,1
Monza GLS 2.0 EFI,1996,1
HR 2.5 TCI Diesel (RD,2012,1
